Местное время в Астане;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
19.09.2018 8:00;10.янв;733.2;764.5;-0.4;52;Ветер, дующий с юго-востока;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;0.7;;;Cухая (без трещин, заметного количества пыли или сыпучего песка);4.0;;
19.09.2018 5:00;08.июн;733.6;765.1;-0.6;57;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;0.5;;;;;;
19.09.2018 2:00;08.авг;734.2;765.7;-1.2;62;Ветер, дующий с юга;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;01.сен;;;;;;
18.09.2018 23:00;11.май;735.4;766.7;-0.9;55;Ветер, дующий с юго-востока;1;;;100%.; ;;;;18.фев;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;02.июн;;;;;;
18.09.2018 20:00;13.сен;736.3;767.3;-0.2;46;Штиль, безветрие;0;;;100%.; ;;;;18.фев;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;02.май;;;;;;
18.09.2018 17:00;17.май;736.5;767.2;-0.9;32;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10.0;0.5;;;;;;
18.09.2018 14:00;17.июн;737.4;768.1;-1.1;35;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;01.июл;;;;;;
18.09.2018 11:00;15.янв;738.5;769.5;-0.1;44;Ветер, дующий с юга;1;;;70 – 80%.; ;;;7.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;3.0;;;;;;
18.09.2018 8:00;08.май;738.6;770.3;0.5;70;Ветер, дующий с юга;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;03.фев;;;Cухая (без трещин, заметного количества пыли или сыпучего песка);4.0;;
18.09.2018 5:00;07.май;738.1;769.9;0.2;71;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;;02.май;;;;;;
18.09.2018 2:00;08.янв;737.9;769.6;0.1;71;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;;03.фев;;;;;;
17.09.2018 23:00;09.мар;737.8;769.3;0.3;66;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;;18.апр;;;;;;;03.янв;;;;;;
17.09.2018 20:00;11.июн;737.5;768.8;01.фев;56;Ветер, дующий с северо-северо-востока;3;;;Облаков нет.; ;;;;18.апр;;;;;;;3.0;;;;;;
